time,A:gene off,A:gene on,A:mRNA,A:protein
0.465667,2,0,4,151
0.186846,2,0,3,151
0.91736,1,1,3,151
0.228573,2,0,3,151
0.015713,2,0,3,152
1.75467,2,0,3,153
0.414883,2,0,3,154
1.95132,2,0,3,155
1.1078,2,0,3,156
0.238252,2,0,3,155
0.38063,2,0,3,156
1.06578,2,0,3,157
0.314069,2,0,3,158
0.0757333,2,0,2,158
2.40426,2,0,2,159
1.20696,2,0,2,158
0.113218,2,0,2,159
0.453283,2,0,2,158
1.5762,2,0,2,159
0.200004,2,0,2,160
0.758101,2,0,2,161
0.965073,2,0,2,162
0.301173,2,0,2,163
0.62134,2,0,2,164
0.00937627,2,0,1,164
0.410286,2,0,1,165
0.62699,2,0,1,166
0.0528534,2,0,1,165
0.247093,2,0,1,164
2.08086,2,0,0,164
2.39142,2,0,0,163
1.24952,2,0,0,162
0.33388,2,0,0,161
0.522859,2,0,0,160
2.26274,2,0,0,159
3.88294,2,0,0,158
1.3975,2,0,0,157
4.66316,2,0,0,156
1.50631,2,0,0,155
4.80833,1,1,0,155
0.315345,1,1,1,155
0.0718689,1,1,2,155
0.0403803,2,0,2,155
0.342539,2,0,2,156
0.337342,2,0,1,156
1.56791,2,0,0,156
0.245289,2,0,0,155
0.685873,2,0,0,154
1.54399,2,0,0,153
4.64204,2,0,0,152
0.557572,2,0,0,151
3.11732,2,0,0,150
0.443746,2,0,0,149
0.569527,2,0,0,148
2.28252,2,0,0,147
3.39802,2,0,0,146
1.15946,2,0,0,145
0.217367,2,0,0,144
1.63779,2,0,0,143
2.15289,2,0,0,142
1.34013,2,0,0,141
1.6121,2,0,0,140
4.99101,2,0,0,139
0.419874,2,0,0,138
1.42825,2,0,0,137
2.40969,2,0,0,136
2.95921,2,0,0,135
1.99973,2,0,0,134
2.29417,2,0,0,133
0.901073,2,0,0,132
9.06666,4,0,0,131
0.791987,4,0,0,130
1.39617,4,0,0,129
5.30392,3,1,0,129
0.132064,3,1,1,129
0.905737,3,1,2,129
0.117612,3,1,3,129
0.00213047,3,1,4,129
0.0807386,3,1,4,130
0.21002,3,1,5,130
0.0498768,3,1,5,131
0.232128,3,1,6,131
0.400694,3,1,5,131
0.400078,4,0,5,131
1.40636,4,0,5,132
1.11552,4,0,5,133
1.4933,4,0,4,133
0.139591,4,0,3,133
0.818292,4,0,3,134
0.253814,4,0,3,133
0.809661,4,0,3,132
0.182895,4,0,2,132
0.851081,4,0,2,133
1.29376,3,1,2,133
0.0228644,3,1,3,133
0.0192174,4,0,3,133
0.601132,4,0,3,134
0.228065,4,0,3,135
1.09651,4,0,2,135
0.697878,4,0,2,136
1.13792,4,0,2,135
0.078173,4,0,2,136
0.798097,4,0,2,137
0.330432,4,0,2,138
1.02844,4,0,2,137
1.41391,4,0,2,138
0.204714,4,0,2,139
0.261664,4,0,2,140
0.617918,4,0,2,139
1.00053,4,0,2,138
1.56705,4,0,1,138
0.429796,4,0,1,137
0.746119,4,0,1,136
0.704371,4,0,1,135
1.75536,4,0,1,134
2.08811,4,0,1,135
0.207365,4,0,1,136
1.87582,4,0,1,135
1.20973,4,0,1,136
1.09499,4,0,0,136
2.81432,4,0,0,135
4.75459,4,0,0,134
4.65522,3,1,0,134
0.120067,3,1,1,134
0.168302,3,1,2,134
0.360606,3,1,3,134
0.0142894,3,1,4,134
0.21363,3,1,4,135
0.0283301,3,1,5,135
0.0403116,3,1,6,135
0.0530306,4,0,6,135
0.202789,4,0,6,136
0.434236,4,0,6,137
0.148555,4,0,6,138
0.445158,4,0,5,138
0.64132,4,0,5,139
0.00284243,4,0,5,140
0.0104306,4,0,4,140
1.31176,4,0,4,141
1.82517,4,0,4,142
0.156817,4,0,4,141
0.44301,4,0,4,142
1.42835,4,0,4,143
0.363721,4,0,3,143
2.04035,4,0,3,144
0.152177,4,0,3,145
0.556961,4,0,2,145
0.371182,4,0,2,146
1.34677,4,0,2,147
0.101021,4,0,2,146
0.788368,3,1,2,146
0.798935,3,1,1,146
0.339558,4,0,1,146
0.300588,4,0,0,146
4.69546,4,0,0,145
0.31177,4,0,0,144
0.224339,4,0,0,143
1.91731,4,0,0,142
1.04678,3,1,0,142
0.863159,3,1,1,142
0.0918188,4,0,1,142
0.0402437,4,0,1,143
1.26133,4,0,1,144
0.840007,4,0,1,143
0.404366,4,0,0,143
5.72223,4,0,0,142
0.943169,3,1,0,142
0.314799,3,1,1,142
0.0249325,4,0,1,142
0.683872,4,0,1,141
0.942175,4,0,1,140
2.81982,4,0,1,139
0.33427,4,0,1,140
3.02666,4,0,0,140
0.105166,4,0,0,139
0.851073,4,0,0,138
2.37438,4,0,0,137
5.32055,4,0,0,136
2.75746,4,0,0,135
3.35217,4,0,0,134
2.16518,4,0,0,133
3.50268,3,1,0,133
0.0613901,3,1,1,133
0.0989543,3,1,2,133
0.140134,3,1,3,133
0.183099,3,1,3,134
0.383478,3,1,4,134
0.0128401,3,1,4,135
0.255631,3,1,5,135
0.34477,3,1,5,134
0.192449,3,1,4,134
0.285096,3,1,4,135
0.152506,3,1,4,136
0.0658237,4,0,4,136
1.04059,4,0,4,137
0.110064,4,0,3,137
0.22153,4,0,2,137
0.290713,4,0,2,136
0.701952,4,0,1,136
1.32023,4,0,1,137
2.18949,4,0,0,137
3.79472,4,0,0,136
6.59859,4,0,0,135
0.51531,4,0,0,134
0.545723,4,0,0,133
0.286005,3,1,0,133
0.890034,4,0,0,133
4.97086,3,1,0,133
0.137368,4,0,0,133
3.04564,4,0,0,132
3.39245,4,0,0,131
0.272607,4,0,0,130
0.205334,4,0,0,129
0.34087,4,0,0,128
8.14718,4,0,0,127
3.51572,4,0,0,126
0.197058,4,0,0,125
9.28208,4,0,0,124
4.02209,4,0,0,123
6.11996,4,0,0,122
7.17156,3,1,0,122
0.140008,3,1,0,121
0.512503,3,1,1,121
0.011961,4,0,1,121
1.84953,4,0,0,121
1.65613,4,0,0,120
7.76303,4,0,0,119
4.33505,4,0,0,118
1.60761,4,0,0,117
2.79689,4,0,0,116
5.30989,4,0,0,115
0.832911,4,0,0,114
0.637711,4,0,0,113
0.642912,4,0,0,112
0.298187,4,0,0,111
0.880491,4,0,0,110
0.503748,4,0,0,109
2.64647,4,0,0,108
2.32176,4,0,0,107
0.318076,4,0,0,106
4.14178,4,0,0,105
0.0573536,4,0,0,104
1.57997,4,0,0,103
3.82777,4,0,0,102
0.669684,4,0,0,101
9.52526,4,0,0,100
1.14643,3,1,0,100
1.30141,3,1,1,100
0.736866,3,1,2,100
0.147273,3,1,3,100
0.104077,3,1,4,100
0.0173584,3,1,5,100
0.125558,3,1,6,100
